"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"Simmons College","MA",57685,"91%-100%","37380","1717","0.5757",24,NA,29,"Set Rate",20685
"Springfield College","MA",51775,"91%-100%","34455","2134","0.6415",20,NA,26,"Full Tuition",14839.24
"Stonehill College -MA","MA",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Set Rate",NA
"Suffolk University","MA",57810,"11%-40%","33934","5352","0.8237",20,NA,26,"Full Tuition",21432.752
"Wentworth Institute of Technology","MA",52048,"","32500","4288","0.6667",22,NA,27,"Full Tuition",17208
"Western New England University","MA",52547,"91%-100%","34030","2726","0.8094",22,NA,27,"Full Tuition",16066.84
"Wheelock College","MA",54725,"91%-100%","33835","809","0.9542",18,NA,24,"Full Tuition",18453.88
"Worcester Polytechnic Institute","MA",64846,"11%-40%","45590","4177","0.4855",27,30,32,"Set Rate",27846
"Adrian College","MI",52074,"41%-60%","33610","1622","0.6103",19,NA,24,"Other Tuition",15074
"Albion College","MI",56750,"41%-60%","39313","1360","0.798",21,NA,27,"Full Tuition",14606.464
"Alma College","MI",49410,"11%-40%","35428","1345","0.6757",21,NA,27,"Set Rate",12410
"Aquinas College","MI",38781,"91%-100%","28820","1692","0.7241",21,NA,26,"Other Tuition",1781
"Hillsdale College","MI",38578,"91%-100%","26300",NA,NA,27,29,31,"Full Tuition",12278
"Kettering University","MI",58344,"61%-90%","38430","1802","0.701",24,NA,29,"Full Tuition",17147.04
"Lawrence Technological University","MI",47422,"11%-40%","30300","2134","0.5529",22,NA,29,"Full Tuition",14940.4
"Madonna University","MI",34112,"91%-100%","18740","2712","0.5988",20,NA,24,"Full Tuition",14022.72
"Marygrove College","MI",33030,"","20930","676","0.5749",14,NA,18,"Set Rate",-3970
"Northwood University","MI",41378,"",NA,NA,NA,NA,NA,NA,"",NA
"Olivet College","MI",39765,"91%-100%","24816","917","0.5687",17,NA,22,"Full Tuition",13162.248
"Walsh College","MI",NA,"61%-90%",NA,NA,NA,18,23,27,"Full Tuition",NA
